,action,cart_pos,pole_angle,cart_velocity,pole_ang_vel,reward,total_reward
0,-0.10066699981689453,-0.0002449260103266956,0.006706385208722241,-0.03759175305730052,0.07683788928929329,0.9992232442958462,0.9992232442958462
1,0.04845070838928223,-0.0014333357364961878,0.009127897495835906,-0.021925887662334286,0.04516770026106884,0.9996625404663065,1.9988857847621526
2,0.0600438117980957,-0.001928441047107268,0.010203706109750807,-0.0029077732826865866,0.009344953491122968,0.9998825871666321,2.9987683719287848
3,0.038449764251708984,-0.001814582611969032,0.01025187947897789,0.00857234637465799,-0.006695429469457224,0.9998797748672782,3.998648146796063
4,0.026111602783203125,-0.0013264389477928157,0.0098712289434204,0.015830781329023824,-0.012327497088903716,0.9998605413166679,4.9985086881127305
5,0.016694068908691406,-0.0006109139453877651,0.009409341557736898,0.01995401490405803,-0.01087307028976607,0.9998594524387694,5.9983681405515
6,0.012822151184082031,0.0002447381907655484,0.009053109693705768,0.022838876442297464,-0.0070571279592527725,0.9998608395748737,6.998228980126374
7,0.012983322143554688,0.0012179434035334328,0.008834315994790327,0.025828003959650493,-0.003963911028815593,0.9998521916368516,7.998081171763226
8,0.014692306518554688,0.002322760299172168,0.008704416871864875,0.02941517926374572,-0.0025709922245387104,0.9998316516342997,8.997912823397526
9,0.01630854606628418,0.003582042909058384,0.008601151937815332,0.03354859778400715,-0.002606921399542255,0.9997999587086945,9.99771278210622
10,0.017248153686523438,0.005012867318754457,0.008480281898126968,0.037991388652106724,-0.0034435559890006046,0.9997574356112163,10.997470217717437
11,0.01708364486694336,0.006620184757118,0.008327393436708167,0.04237398778378165,-0.004215175220253721,0.9997054954180481,11.997175713135485
12,0.016153335571289062,0.008396578249897335,0.008156012368866969,0.046446516539398526,-0.0043804488536132915,0.9996453302128518,12.996821043348337
13,0.01532125473022461,0.01033043566854993,0.007987634253147547,0.050247898770815744,-0.004071181054252693,0.99957533721333,13.996396380561666
14,0.01476287841796875,0.012412801473995672,0.00783646213265096,0.053872018283696296,-0.003520212163611291,0.9994930535960471,14.995889434157714
