,action,cart_pos,pole_angle,cart_velocity,pole_ang_vel,reward,total_reward
0,0.14352989196777344,0.0071431264390760425,-0.011688304428186243,0.05627518005355462,-0.12097789146988233,0.9980321046728136,0.9980321046728136
1,-0.11342573165893555,0.008643730927306954,-0.014856861540250461,0.01894451788490909,-0.03923288859905216,0.9995147481502584,1.997546852823072
2,-0.055253028869628906,0.009057818786748814,-0.015832877984673456,0.001826408897545543,-0.010176560461646687,0.9996565860783199,2.997203438901392
3,-0.0392758846282959,0.008900392062891876,-0.015954401504351224,-0.00967057648338375,0.0038717468289156025,0.999655389046462,3.996858827947854
4,-0.02933478355407715,0.00835198178184506,-0.015689140187014748,-0.017743383046928282,0.009359612605588097,0.9996438522815003,4.996502680229354
5,-0.02448558807373047,0.007513525368366801,-0.01528086197962591,-0.024181466425029857,0.011103679074163679,0.9996392386929539,5.996141918922308
6,-0.02203989028930664,0.006433530178438651,-0.014834052994067759,-0.029823518091474113,0.011315519010427922,0.9996368122410296,6.9957787311633375
7,-0.020604848861694336,0.0051367858697344004,-0.014391509889357295,-0.035019911700777256,0.0108985929259479,0.9996319805197035,7.995410711683041
8,-0.01940631866455078,0.00363944818689796,-0.013973983629179367,-0.03985344956387752,0.010065774229198441,0.9996225204731288,8.99503323215617
9,-0.01889491081237793,0.0019514422279168153,-0.013587555284680355,-0.04455266318016065,0.009336286269073868,0.9996043596108426,9.994637591767011
10,-0.01834702491760254,7.845796865634913e-05,-0.013229489303790339,-0.0491018535142562,0.008641732450243295,0.9995764073012804,10.994213999068291
11,-0.017848968505859375,-0.0019737764260993364,-0.012898306946809164,-0.05351467427618778,0.007986400355557017,0.9995369775891731,11.993750976657465
12,-0.01738882064819336,-0.004200001564961982,-0.01259251407477083,-0.057800922951537805,0.007366884171202163,0.999484266808487,12.993235243465952
13,-0.016965389251708984,-0.006595345185527713,-0.012310733349487792,-0.061970155153556424,0.006780714106213768,0.9994163194449269,13.99265156291088
14,-0.016536474227905273,-0.009155039337736646,-0.012052300684649679,-0.06601806467730074,0.006194983693056977,0.9993312510342619,14.99198281394514
15,-0.016188383102416992,-0.01187472377247217,-0.011816484356687171,-0.06996923857782052,0.005645036964480961,0.9992266055538266,15.991209419498967
16,-0.0159304141998291,-0.014751079245993037,-0.011601027539397483,-0.07385116039053206,0.00517200694901902,0.9990997474664177,16.990309166965385
17,-0.015642881393432617,-0.0177810879502622,-0.011403870519993477,-0.0776515557673263,0.00472614277385683,0.9989485745946077,17.989257741559992
18,-0.015371084213256836,-0.02096155404761111,-0.011224134522528005,-0.08137371408217108,0.004297358235300868,0.9987706171929963,18.988028358752988
19,-0.015129327774047852,-0.024289511448919613,-0.011061091611838006,-0.0850258114666313,0.0038879935559623553,0.9985632213749822,19.98659158012797
20,-0.01491403579711914,-0.027762298141430435,-0.010913962398040494,-0.08861487995062177,0.003498320871142362,0.9983236567069224,20.984915236834894
21,-0.014722108840942383,-0.03137751404409254,-0.010781987432722377,-0.0921469862378707,0.003127088799593733,0.9980491157837051,21.9829643526186
22,-0.014621973037719727,-0.0351334583794828,-0.010663387655402194,-0.09565096649178326,0.0028259889465651086,0.997736222905574,22.98070057552417
23,-0.014819622039794922,-0.039030949809913555,-0.010551180008009295,-0.09922381534306836,0.0028023785436989738,0.9973799356717008,23.978080511195873
24,-0.01445627212524414,-0.043068958111571465,-0.010443395894066811,-0.10267701693566271,0.0026064112112492814,0.9969810640107626,24.975061575206635
25,-0.014231681823730469,-0.047243639561480096,-0.010344664041365909,-0.10605741876327293,0.002348887587875691,0.9965356571120932,25.97159723231873
26,-0.014070987701416016,-0.051552499083380034,-0.010256587278787567,-0.10938576884934299,0.0020718654716736407,0.9960401883503213,26.96763742066905
27,-0.014055728912353516,-0.055994403711801054,-0.010177927402078808,-0.1127093893110147,0.001875092149827575,0.9954903443058146,27.963127764974864
28,-0.014020919799804688,-0.06056900327304656,-0.010106095991169824,-0.11602032474353008,0.0017284233418776375,0.9948828923462427,28.958010657321108
29,-0.013690471649169922,-0.06527380298371835,-0.010043852147784917,-0.11921951626249182,0.0013964483800089642,0.9942169273654822,29.95222758468659
30,-0.013458251953125,-0.07010499500070332,-0.009997070710994751,-0.12233982969351286,0.000953818176446149,0.9934885538832956,30.945716138569885
31,-0.013330459594726562,-0.07506010263322525,-0.009968782308923715,-0.12541501982377543,0.00046874449544597266,0.992693689680087,31.938409828249974
32,-0.013483524322509766,-0.08013915544608166,-0.00995674106613501,-0.12853654865550057,0.00013610862992731538,0.991826412785148,32.930236241035125
33,-0.013528108596801758,-0.08534322665336358,-0.009957096357686145,-0.13166563981709353,-0.0001541327054534212,0.9908838034499828,33.92112004448511
34,-0.013614892959594727,-0.09067286560114929,-0.009967848707425656,-0.13481464764513001,-0.00038661974808435514,0.9898615595663709,34.91098160405148
35,-0.01363515853881836,-0.09612839444590542,-0.009988029227858745,-0.1379599649524159,-0.0006273037950448976,0.9887562365094236,35.8997378405609
36,-0.013652324676513672,-0.10170962481062223,-0.010018222772061582,-0.14109956049749253,-0.0008889749131297138,0.9875637998084735,36.88730164036938
37,-0.014129638671875,-0.10741936892082217,-0.010052405776650099,-0.1443850762376357,-0.0008320571255932841,0.9862752540628331,37.87357689443221
38,-0.014777660369873047,-0.11326454109461245,-0.01007573194728994,-0.14787050533703638,-0.0003499639558106536,0.9848830424740131,38.85845993690622
39,-0.01443624496459961,-0.1192465151923051,-0.010086712126863882,-0.1512259289408368,-0.00020754939585268024,0.983391594386884,39.84185153129311
40,-0.013280153274536133,-0.12535475038204524,-0.010110710264782876,-0.15418474138278962,-0.0009904619574055591,0.98180656854558,40.82365809983869
41,-0.013169288635253906,-0.13158044581027772,-0.010167750038361088,-0.15709844635055503,-0.001864919178073216,0.9801148631625961,41.803772963001286
42,-0.013777017593383789,-0.13792651648094154,-0.01025110210498405,-0.16020233506972129,-0.0023172567112033395,0.97830417517302,42.78207713817431
43,-0.01419210433959961,-0.14439916393501662,-0.010348021135810525,-0.16342666684677756,-0.0025490996928346004,0.9763703225788519,43.75844746075316
44,-0.014455795288085938,-0.1510021328586852,-0.010452628690596863,-0.16671812191463,-0.002704334924153082,0.9743088738653722,44.732756334618536
45,-0.01378941535949707,-0.15773189012040947,-0.010576436806317466,-0.16976669175773215,-0.0035039476165360235,0.9721254890955986,45.70488182371413
46,-0.014025449752807617,-0.1645847750473256,-0.010730949975924832,-0.17287380346190828,-0.004246548569245974,0.9698063600254216,46.674688183739555
47,-0.014314651489257812,-0.1715634023804125,-0.010913869778140076,-0.17605314548256754,-0.004930818145965661,0.9673449841099331,47.64203316784949
48,-0.014942646026611328,-0.17867283847840884,-0.011118406906883536,-0.17941335635970357,-0.005335723472708987,0.9647306355793982,48.60676380342889
49,-0.01513218879699707,-0.18591730606641207,-0.011341010391273504,-0.18280447861848761,-0.005836482725475051,0.9619609825949549,49.56872478602384
50,-0.016607284545898438,-0.19330656164694127,-0.011566069369917168,-0.18665131966963563,-0.0054712581819023045,0.9590119342835167,50.52773672030736
51,-0.017814159393310547,-0.20085690719213417,-0.01176429171200092,-0.19085849872000218,-0.004497974555661199,0.9558733844428496,51.48361010475021
52,-0.017444133758544922,-0.2085722289503401,-0.011935781216985759,-0.19490152070599748,-0.004121037724509363,0.9525548038648836,52.4361649086151
53,-0.01580810546875,-0.21643768450249296,-0.01212243478499254,-0.19836717455756134,-0.005238299522481074,0.9490700777296992,53.3852349863448
54,-0.016834259033203125,-0.22444807558802182,-0.012341490346866216,-0.20214670968442014,-0.0057560835263539755,0.9453811065074719,54.33061609285227
55,-0.01753401756286621,-0.232613618054818,-0.012575549460965178,-0.20612397816956396,-0.0059954774239015666,0.9414804562386033,55.27209654909087
56,-0.017922639846801758,-0.24094007011296528,-0.012818990837332749,-0.21019194712184702,-0.006227286517477171,0.9373616127146472,56.209458161805514
57,-0.018801212310791016,-0.2494342905589188,-0.013064226864373705,-0.2145117399114079,-0.006090861370867798,0.9330066221545992,57.142464783960115
58,-0.018471479415893555,-0.2580982487711581,-0.013315639184389926,-0.21867955396387861,-0.0065293817641255275,0.9284216497195663,58.07088643367968
59,-0.019125699996948242,-0.26693247757277433,-0.013580500673026836,-0.22302464945828934,-0.006768913380402033,0.9235840411728958,58.99447047485258
60,-0.01968216896057129,-0.27594335116255725,-0.013852947621289772,-0.22751144070810086,-0.0069116560895957375,0.9184824401270818,59.912952914979655
