,action,cart_pos,pole_angle,cart_velocity,pole_ang_vel,reward,total_reward
0,0.34294700622558594,0.00691652388639586,-0.0034819162144506983,0.10678612834255798,-0.25059967159725277,1.0,1.0
1,-0.2012465000152588,0.009815402252470117,-0.01012187895435003,0.03854160109243074,-0.08504375260707281,1.0,2.0
2,-0.23754286766052246,0.009783103973046868,-0.009957878176416416,-0.039885599805381845,0.09080343324680856,1.0,3.0
3,0.0216217041015625,0.008364157636878419,-0.006973028941743676,-0.03116534961628563,0.05946713077637703,1.0,4.0
4,0.09191322326660156,0.007750389995005235,-0.006210765657271512,0.0003404382163062977,-0.02008856764274889,1.0,5.0
5,0.0002913475036621094,0.007773758875388303,-0.0070994259266070935,0.000839199127115746,-0.02446183330379391,1.0,6.0
6,-0.04156351089477539,0.0075401058810281325,-0.007535096225202178,-0.0124710373533631,0.0022144864428999874,1.0,7.0
7,-0.015732288360595703,0.006951033072010835,-0.007346665340958393,-0.016977243316773468,0.007171861198667418,1.0,8.0
8,-0.002498626708984375,0.0062702248027680305,-0.007165842040334611,-0.01707342454323661,0.0019752404944769143,1.0,9.0
9,-0.004485130310058594,0.005571310873536201,-0.007151557469780953,-0.01787628170245933,-0.0012161996220870373,1.0,10.0
10,-0.0097808837890625,0.004804683225986327,-0.007179305665181338,-0.020451787688022294,-0.00019389297098045542,1.0,11.0
11,-0.010346412658691406,0.0039316337272470685,-0.007159814240964328,-0.023197771559768304,0.0011506238022045857,1.0,12.0
12,-0.008538007736206055,0.002961078424022978,-0.007115999246035889,-0.02532978781282117,0.0010474493004590604,1.0,13.0
13,-0.007643699645996094,0.0019112210553213454,-0.007089224197461326,-0.02716354980359576,0.0003042507033521839,1.0,14.0
14,-0.008274078369140625,0.00078378959116503,-0.007081204811974446,-0.02920730839779539,9.841181588119532e-05,1.0,15.0
15,-0.00864267349243164,-0.00042775171102189954,-0.007075621243593657,-0.03136855512202739,0.00017797359940144541,1.0,16.0
16,-0.008544921875,-0.001724951743100866,-0.007068659610157177,-0.0334904097436413,0.00016883680374112824,1.0,17.0
17,-0.008467435836791992,-0.0031063863043424137,-0.007063405676514708,-0.035580353458460924,9.318687337217234e-05,1.0,18.0
18,-0.008491992950439453,-0.004571464189507105,-0.007060902764845668,-0.03767250439296855,3.055933414787212e-05,1.0,19.0
19,-0.008995532989501953,-0.006123451870608261,-0.0070533519953374195,-0.03992536213922229,0.0003413411221436357,1.0,20.0
20,-0.008867502212524414,-0.00776453118455164,-0.007035901100919493,-0.042127466955010184,0.0005292601299116032,1.0,21.0
21,-0.008450984954833984,-0.009490793993930265,-0.00701750186115741,-0.044185059918722784,0.00039349976342145166,1.0,22.0
22,-0.008447885513305664,-0.01129926151600211,-0.007004294540512704,-0.046237590819688534,0.0002684917595912758,1.0,23.0
23,-0.008512020111083984,-0.013190165736733714,-0.006994950248886018,-0.04830673831795373,0.00019881131088056312,1.0,24.0
24,-0.008561849594116211,-0.015164059473559185,-0.006987638707452149,-0.0503869728682824,0.00016593868433585542,1.0,25.0
25,-0.008774518966674805,-0.01722245952800326,-0.006978481630976667,-0.052531849236118276,0.0002892654142242618,1.0,26.0
26,-0.009374141693115234,-0.019370506213972048,-0.006955450879563385,-0.054868884735667936,0.0008561548379728561,1.0,27.0
27,-0.008561372756958008,-0.021606454757016422,-0.006922772281937589,-0.05692812286454485,0.0007825767168058589,1.0,28.0
28,-0.00844573974609375,-0.02392394988147173,-0.006894272767905627,-0.05894623673306165,0.0006472544670160985,1.0,29.0
29,-0.008484601974487305,-0.02632237517483201,-0.006870061407014775,-0.060974471079717804,0.0005665652600057168,1.0,30.0
30,-0.008470535278320312,-0.028801766238362576,-0.00684893717677397,-0.0629944617816739,0.0004922084939763662,1.0,31.0
31,-0.008450508117675781,-0.03136174643996589,-0.006830817268023949,-0.06500387842021244,0.0004157924110037753,1.0,32.0
32,-0.008439302444458008,-0.03400194563689678,-0.006815714487744913,-0.06700535577893965,0.0003407431093732114,1.0,33.0
33,-0.008433341979980469,-0.03672207466195335,-0.006803564597196892,-0.06900031387640514,0.0002675433892587996,1.0,34.0
34,-0.00843191146850586,-0.039521896382641246,-0.006794294364570856,-0.07098993540012832,0.00019616904051664397,1.0,35.0
35,-0.008434295654296875,-0.04240121630660277,-0.006787840955384597,-0.07297517020971496,0.00012612893508505795,1.0,36.0
36,-0.008441448211669922,-0.045359884419602356,-0.006784144582226125,-0.07495729104114081,5.7749793094840654e-05,1.0,37.0
