,action,cart_pos,pole_angle,cart_velocity,pole_ang_vel,reward,total_reward
0,0.13834905624389648,-0.008706241896604865,-0.005958136668384384,0.04453522233759993,-0.1008523082460323,0.9986732445487574,0.9986732445487574
1,0.11425638198852539,-0.006170468017054993,-0.011713094130906954,0.08223080862333344,-0.18683185818075757,0.9956579238385188,1.9943311683872762
2,0.09615397453308105,-0.0022474029622270198,-0.020648418307036693,0.11397975931711449,-0.2606724766859901,0.9914744394377835,2.9858056078250597
3,0.0763556957244873,0.0028228099938826033,-0.0323427720262735,0.13965554463199845,-0.3254579871588785,0.986403319586198,3.9722089274112578
4,0.05890631675720215,0.008820486222310527,-0.046546389229760954,0.16040690245006378,-0.3866825116609486,0.9802302587546692,4.952439186165927
5,0.0464482307434082,0.015588044398181013,-0.06325650910227643,0.17819216947146133,-0.45122935391950786,0.9722195890180778,5.924658775184005
6,0.03225898742675781,0.023000401576667835,-0.0826329507514988,0.19268910999946812,-0.5204526233011618,0.9618427743560677,6.886501549540073
7,0.01745128631591797,0.030926985329656823,-0.10490818240919765,0.20394445145438825,-0.5966286545563364,0.9482818857703442,7.834783435310417
8,0.004420757293701172,0.03925486330915703,-0.13044364227104002,0.21279099918863376,-0.6839213612607931,0.9301406681251929,8.76492410343561
9,-0.013372659683227539,0.04786075571860703,-0.15966910896502165,0.21788613668276205,-0.7816620159933078,0.9063681361238337,9.671292239559444
10,-0.03185319900512695,0.056595077355511496,-0.19305851617917016,0.21924873252936342,-0.8926729690585047,0.8750319029094749,10.546324142468919
11,-0.04841470718383789,0.06532556318791556,-0.23124101626809787,0.21771896596762882,-1.021870400574256,0.8330980968182986,11.379422239287218
