episode,average_reward
5,3.3723349571228027
10,4.565185546875
15,5.144354343414307
20,5.569960594177246
25,6.535050868988037
30,4.742753505706787
35,5.5488600730896
40,4.958162307739258
45,5.363875865936279
50,3.972489595413208
55,5.357155799865723
60,5.5580549240112305
65,6.955000400543213
70,5.9567155838012695
75,4.759693145751953
80,4.162017822265625
85,6.927146911621094
90,6.906487941741943
95,3.9516091346740723
100,5.760140419006348
105,6.5442986488342285
110,9.727986335754395
115,4.562572479248047
120,5.521792411804199
125,5.135809898376465
130,9.47028923034668
135,5.7511091232299805
140,7.097114562988281
145,4.15445613861084
150,4.5440354347229
155,3.1760621070861816
160,4.374446868896484
165,7.135682106018066
170,4.549310684204102
175,6.121411323547363
180,5.946505546569824
185,3.954077959060669
190,6.523698329925537
195,3.96064829826355
200,4.364006996154785
205,4.157489776611328
210,6.3508172035217285
215,4.359194278717041
220,6.567135810852051
225,4.766304016113281
230,5.9500532150268555
235,4.769687175750732
240,8.523770332336426
245,7.4824628829956055
250,6.357476234436035
255,5.565389156341553
260,5.750373363494873
265,5.134110450744629
270,6.125640869140625
275,5.352970600128174
280,4.963897705078125
285,6.137911796569824
290,6.95095157623291
295,7.133882999420166
300,5.749138355255127
305,7.961360931396484
310,7.484250068664551
315,4.559552192687988
320,4.563807010650635
325,6.5458879470825195
330,7.139329433441162
335,5.948336601257324
340,4.155320167541504
345,7.345038414001465
350,5.554238796234131
355,5.547262668609619
360,6.354697227478027
365,3.5767531394958496
370,4.9525861740112305
375,5.3552422523498535
380,6.349785804748535
385,5.94243049621582
390,6.136435031890869
395,7.3308844566345215
400,3.1680073738098145
405,6.930213928222656
410,5.339585781097412
415,6.526223659515381
420,5.166808128356934
425,5.360448837280273
430,4.369001865386963
435,4.750115394592285
440,7.348217010498047
445,7.539523124694824
450,6.5546417236328125
455,4.361333847045898
460,6.361266136169434
465,4.952609539031982
470,8.11026382446289
475,9.133329391479492
480,4.554079055786133
485,9.297881126403809
490,6.1546783447265625
495,6.7392578125
500,4.570303440093994
505,3.977560520172119
510,6.944011688232422
515,5.9466753005981445
520,4.761173248291016
525,5.737491607666016
530,8.128190994262695
535,8.290371894836426
540,3.9660885334014893
