episode,average_reward
5,1.820427656173706
10,4.127823829650879
15,5.236031532287598
20,5.364977836608887
25,3.8679347038269043
30,5.9216628074646
35,4.709994316101074
40,3.7985336780548096
45,6.093179702758789
50,2.819077253341675
55,4.540575981140137
60,3.4000916481018066
65,3.3870651721954346
70,4.931910037994385
75,4.046080589294434
80,5.900360584259033
85,4.620512962341309
90,2.7151939868927
95,3.2191436290740967
100,5.948159217834473
105,4.643841743469238
110,3.9193115234375
115,2.9429798126220703
120,6.204760551452637
125,5.031379222869873
130,2.365938186645508
135,5.556901931762695
140,4.712597846984863
145,4.514204978942871
150,3.7639358043670654
155,3.0697574615478516
160,9.449156761169434
165,3.2044949531555176
170,4.981988430023193
175,5.230900764465332
180,5.136284351348877
185,2.924179792404175
190,3.8140342235565186
195,4.665786266326904
200,4.783979892730713
205,3.85827898979187
210,4.295417785644531
215,5.588794231414795
220,3.6468517780303955
225,3.4519152641296387
230,4.90952205657959
235,4.126171588897705
240,3.3393874168395996
245,4.584545612335205
250,5.115038871765137
255,4.725781440734863
260,5.858298301696777
265,4.897107124328613
270,7.824424743652344
275,7.255795478820801
280,5.690433502197266
285,2.6221587657928467
290,3.853107452392578
295,3.9051995277404785
300,2.5127594470977783
305,3.4878878593444824
310,4.787755489349365
315,4.567683219909668
320,10.890830039978027
325,7.426506996154785
330,7.821423530578613
335,4.092418670654297
340,6.316003322601318
345,7.094191074371338
350,10.33354377746582
355,6.204628944396973
360,3.5559051036834717
365,8.003363609313965
370,5.511475563049316
375,9.099077224731445
380,8.368986129760742
385,5.680602550506592
390,7.106464385986328
395,6.253324031829834
400,7.961205959320068
405,8.73450756072998
410,10.654458999633789
415,7.618710517883301
420,6.760138034820557
425,7.9101457595825195
430,8.492897987365723
435,7.74170446395874
440,6.945208549499512
445,4.263723373413086
450,12.345438003540039
455,8.615281105041504
460,4.226529121398926
465,9.620695114135742
470,5.620594024658203
475,3.564073085784912
480,9.150720596313477
485,5.6707940101623535
490,8.462252616882324
495,8.965238571166992
500,12.451987266540527
505,11.13967227935791
510,9.062331199645996
515,9.218535423278809
520,13.107892990112305
525,15.718803405761719
530,6.334815979003906
535,8.7396240234375
540,20.773420333862305
545,12.826194763183594
550,12.44970703125
555,11.905206680297852
560,12.194262504577637
565,7.849249839782715
570,17.785175323486328
575,6.296984672546387
580,8.380842208862305
585,22.512409210205078
590,9.31517219543457
595,9.053021430969238
600,9.546390533447266
605,12.90119457244873
610,16.387157440185547
615,10.003966331481934
620,10.809686660766602
625,8.49817180633545
630,7.792929172515869
635,7.386704921722412
640,13.407546997070312
645,7.835818290710449
650,7.983100891113281
