episode,average_reward
5,1.8385143280029297
10,3.3830008506774902
15,5.979308128356934
20,4.1314263343811035
25,3.7773945331573486
30,4.085655689239502
35,4.336756229400635
40,3.563734531402588
45,3.229707717895508
50,4.5365753173828125
55,3.699873685836792
60,5.638665199279785
65,3.7617695331573486
70,3.382056713104248
75,7.485091209411621
80,4.623943328857422
85,4.161118030548096
90,3.392606735229492
95,7.128404140472412
100,2.9029700756073
105,8.01459789276123
110,4.241665363311768
115,3.5545928478240967
120,3.5344185829162598
125,4.983090400695801
130,6.767018795013428
135,3.8477416038513184
140,3.155519485473633
145,3.4247124195098877
150,3.2359256744384766
155,4.328743934631348
160,6.257798194885254
165,2.088533639907837
170,3.929213285446167
175,4.548062801361084
180,2.7431774139404297
185,6.4414381980896
190,6.216859340667725
195,2.8214943408966064
200,5.474521636962891
205,7.183412075042725
210,5.034844398498535
215,4.891490936279297
220,3.417701005935669
225,5.7666778564453125
230,5.8991804122924805
235,8.77258014678955
240,4.69677209854126
245,6.227759838104248
250,6.769893646240234
255,5.797264099121094
260,5.398276329040527
265,6.445068359375
270,3.778001070022583
275,9.097444534301758
280,6.739234924316406
285,6.143519878387451
290,4.315455913543701
295,15.249773025512695
300,7.8085174560546875
305,10.137824058532715
310,11.324224472045898
315,10.584702491760254
320,13.274881362915039
325,13.547384262084961
330,13.994169235229492
335,13.133913040161133
340,13.307470321655273
345,12.16028118133545
350,20.658069610595703
355,12.18574333190918
360,14.350959777832031
365,18.607736587524414
370,18.10576820373535
375,17.054231643676758
380,19.469104766845703
385,15.405637741088867
390,13.785940170288086
395,29.703256607055664
400,22.146991729736328
405,19.649234771728516
410,26.9674015045166
415,48.73976135253906
420,39.11666488647461
425,26.97322654724121
430,30.005443572998047
435,55.936767578125
440,25.415332794189453
445,42.76068878173828
450,42.42316436767578
455,43.86986541748047
460,55.38262939453125
465,48.625919342041016
470,56.372154235839844
475,70.16901397705078
480,58.781761169433594
485,90.97661590576172
490,66.33235168457031
495,69.9340591430664
500,67.34363555908203
505,78.21949005126953
510,85.19284057617188
515,76.95230102539062
520,102.5560531616211
525,77.66035461425781
530,86.21550750732422
535,74.63566589355469
540,87.73802185058594
545,69.31245422363281
550,61.321449279785156
555,80.53103637695312
560,68.12104797363281
565,83.77484130859375
570,79.14707946777344
575,80.65970611572266
580,115.5884017944336
585,149.73898315429688
590,114.24986267089844
595,102.9356460571289
600,105.70926666259766
605,128.12875366210938
610,119.04803466796875
615,167.9447784423828
620,123.30592346191406
625,168.20736694335938
630,151.35977172851562
635,178.91470336914062
640,456.5306091308594
645,914.0422973632812
650,935.47900390625
655,807.0692749023438
660,949.6021728515625
665,948.81494140625
670,949.4998779296875
675,948.9905395507812
680,950.26611328125
685,949.6589965820312
690,946.3966674804688
695,942.2805786132812
700,943.3812255859375
