episode,average_reward
5,2.2719244956970215
10,4.3755621910095215
15,3.729724407196045
20,4.877890586853027
25,3.8080687522888184
30,3.188876152038574
35,4.079893112182617
40,4.566317081451416
45,4.32105827331543
50,4.693909645080566
55,4.155909538269043
60,2.5328755378723145
65,4.214676856994629
70,1.9949668645858765
75,4.821149826049805
80,3.11673641204834
85,2.6074719429016113
90,4.770469665527344
95,3.3151679039001465
100,4.277493000030518
105,4.520793914794922
110,3.970907688140869
115,4.479607582092285
120,4.236418724060059
125,3.5189480781555176
130,5.120794296264648
135,3.37945556640625
140,6.3622565269470215
145,5.19770622253418
150,5.211939334869385
155,3.2164306640625
160,3.9445953369140625
165,3.5151076316833496
170,4.030969142913818
175,1.765315294265747
180,3.89595103263855
185,5.076395511627197
190,3.2292213439941406
195,4.1061482429504395
200,2.356144666671753
205,3.514120101928711
210,7.036067008972168
215,6.352744102478027
220,4.111927509307861
225,6.023760795593262
230,4.957894325256348
235,8.180068969726562
240,5.7258405685424805
245,8.20393180847168
250,4.859789848327637
255,5.789173603057861
260,4.768710136413574
265,4.438781261444092
270,5.056218147277832
275,6.951930046081543
280,7.203568935394287
285,8.624707221984863
290,6.307572841644287
295,9.138465881347656
300,4.091883659362793
305,8.793109893798828
310,5.284510612487793
315,8.841139793395996
320,6.421308994293213
325,8.326754570007324
330,6.689455986022949
335,6.060753345489502
340,4.52664852142334
345,9.419994354248047
350,6.943285942077637
355,7.072719573974609
360,8.861331939697266
365,8.689336776733398
370,5.268392562866211
375,6.101927280426025
380,7.600801944732666
385,7.564267158508301
390,7.381137847900391
395,10.555490493774414
400,5.019078731536865
405,5.709994316101074
410,2.9610984325408936
415,9.427072525024414
420,11.701141357421875
425,6.14125394821167
430,5.730931282043457
435,5.454118728637695
440,7.029151916503906
445,9.988019943237305
450,3.846501111984253
455,6.923470497131348
460,5.495661735534668
465,4.388628959655762
470,5.192537307739258
475,7.0153608322143555
480,5.293145179748535
485,8.05687141418457
490,7.800406455993652
495,4.195245265960693
500,5.167717933654785
505,3.8683853149414062
510,4.697296619415283
515,4.1009087562561035
520,7.579567909240723
525,3.341557741165161
530,7.090427398681641
535,6.543705940246582
540,11.019055366516113
545,11.952838897705078
550,4.313979148864746
555,8.587693214416504
560,11.895368576049805
565,4.545222282409668
570,8.055511474609375
